	text
0	satanas huknin ñanmi kachkan señor jesucristo huknin ñanñataqmi kachkan satanas huknin destino kachkan manaña waqaypa kanan nanaypa kanan manaña llakikuypa kanan wiqi pichasqa kanan lugar kusikuy lugar huknin destinuñataqmi waqaypa kanan lugar tutayaypa kanan lugar mana sufrimiento tukuynin
2	qaphawasqanman hina derecho ñam kachkanmansi llapa runapaq allin destinoman apakuq hina rikchakuq kachkanmansi runapaq punkukunapas sumaqllaña kaymi kay chiqa punkuqa nisqan qaykataq kunan punchaw runakuna señorta qatichkanchik wakiqnikchikmi denominación punku
4	takachkasqanki manam denominacionchu salvawanchik manam sutichu cieloman pusawanchik yuyariy solamente solamente jesucristo diosmi chiqap punkuqa y chaynaqa paypa sutinta valechiy paypa sutinmanta rimay paypa sutinta qhatunchay kaymi chiqap punkuqa nispa jesucristomanta rimay
6	nispam musuq testamentopi san lucas capítulo trece versículo veintitresmi rimapayawanchik dios taytapa palabranpi kaynata nin san lucas capítulo trece versículo veintitrés dios taytapa palabran y veinticuatro chaymi huk kaqninta tapurqan señor asllachu salvakunqaku nispa hinaptinmi jesusñataq
8	kuyasqay uyariqllaykuna discipulunkunam señorta tapuchkan señor asllachu salvakunqaku nispa hinaptin señor jesús responden kichki punkunta yaykunaykichikpayá kallpanchakuychik kichki ñanninta yayku kichki ñanninta yaykunaykichikpaq kichki punkunta yaykunaykichikpayá  kallpanchakuychik chiqaptam niykichik
10	señorta hinaptinmi señor jesús nin kaynata nispa tukuy imapas kapuqniykita rantikarqamuy hinaspayki llapallan wakchakunaman quykarqamuy chaynapim kay pachapi kapusuqniykimanta hanaq pachapi más kapuqniykikuna kanqa imatataq rurarqan kay mozo kay mozom llakikurqurqan
12	cielomanpas chayarqusaqmi qullqiywanqa ima munasqatapas tarirqusaqmi allintam richkani allin ñanmi kayqa entonces chaymi qampaq parecen allin ñan hina pero chay qatisqayki ñanqa wañuymanmi apasuchkanki proverbios libropa nisqanpi hina dios taytanchikpa palabranmi rimapayawanchik dios taytapa palabran nin kallpanchakuychik
14	llapallan kay huk chuya simiyki uyariqkuna kallpanchakuykunankupaq qarinchakuykunankupaq u taytaya manapas kay palabraykimanchu kay palabraykiman hinachu kawsachkaniku chaykunamantapas libraykuwaykutaqya amado padre celestial tukuy sunquywanmi tukuy kaykunata mañakaykamuyki agradecido señorniyku jesucristopa
15	akllananchikta maylawmi rinanchik salvacionqa hamun señor jesusmantam salvacionqa hamun diosmantam manam runamantachu pero kuyasqay uyariqllaykuna ñuqanchikmi decidinanchik maylawninmi riyta adantam nirqa evatam nirqa dios tayta kay sachapa rurunta ama mikuychikchu mikuspaqa wañunkichikmi runam kanan decidinan karqa mikuyta o mana mikuyta
17	nispa entonces payqa akllachkanmi may ladumi riyninta y kay muzum akllakuykurqa mana kapuqninkuna rantikuyta hinaspa tukuy kapuqninwan pasakuyta y dios tayta nirqa señor jesús mayna sasam apukunapaq salvakuynin dios taytanchikpa chuya siminmi kunan rimapayasunki khuyasqay uyariqllay ñawpaqniykipim kachkan iskay pun
20	ñakaykamuyki agradecido señorniyku jesucristopa sumaq sumaq sutillanpi chaynapuni kallachun nispa amén kunanpaq yachachikuymi rimapayawanchik kuyasqay uyariqllaykuna iskay punku iskay ñan iskay destino iskay punku iskay ñan iskay destino diosta tayta
21	sayaykuspaykim ninki maynin ñanraq maymi risqay ñanman apakuq kachkan maynintataq rirqusaq ñuqanchikkuna tarikunchik tanto desición churaypi hinaspanchikyá uyarikurqanchik imatam niwarqanchik guiamuwaqninchik kay ñantam qatinki hinaspayki tarinki kimsa pallqaq
23	kay ñantam qatinki hinaspaykim tarinki kimsa pallqaq ñanta hinaspaykiqa chay taksa ñan kaqchallatam rinki amam chay iskay kaq hatun ñantaqa rinkichu nispa chaynata nisuptiyki chayarqunki chay kimsa pallqaq ñanman hinaspayki imatataq yuyarinki chay consejamususqaykita yuyarinki niwarqan kimsa ñanmi kachkan chay kichin kaqtam rinki riwarqa
25	niwarqan kimsa ñanmi kachkan chay kichkin kaqtam rinki niwarqan mayqintaq kichki kanman kaychu kay lawchu chawpichu mayqintaq qam mediykunki qawaykunki tanteaykunki hinaspa ninki kaymi kimsanmanta kichki kasqa nispa chaymi dios taytapa palabran cuando ñuqanchikkuna tarikunchik tanto decisiunpi mayqin religiontaq allin mayqin señortaq allin mayqintataq qatisaq may
28	chaymi dios taytapa ofrecimientun manam ninchu señor kachkanmi iskay punku no se mayqintapas qamya decidiy ninchu manam adivinay mayqin punkun yaykuyta ninchu clarutam nin diospa palabran kichki punkuntayá yaykuychik imaynam adanta nirqan kay sachapa rurunta ama mikuychu kunan niwanchik kichki punkuntayá qamkunaqa yaykuychik amayá
30	y kunan niwanchik kichki punkuntayá qamkunaqa yaykuychik amaya ancho punkuntaqa ancho ñannintaqa riychikchu porque chayqa wañuymanmi apakun y chay kichki punkuqa señor jesucristo payman vidaykita entregay payman sunquykita quy hinaspayki payta qatiy tukuy sunquykiwan ipayman
32	qatiy tukuy sunquykiwan y payman vidaykita entregay tukuy vidaykiwan hinaspa kuyay tukuy almaykiwan tukuy kallpaykiwan payllam chiqap ñan y paymi nin ñuqam kani ñan y kichki ñanninta riyqa manam facilchu kichki ñanninta riyqa kuyasqay uyariqllaykuna achka
34	kichki ñanninta riyqa kuyasqay uyariqllaykuna achka sasachakuytam achka batallatam pasasunchik porque dios taytapa palabranmi chaytapas ña nirqunña primera timoteo capítulo seis versículo doce niwanchik kaynata nispa primera timoteo capítulo seis versículo doce nin allin peleachkaq hinaya iñisqaykipi kallpanchakuy wiñay kawsayta
36	kichki ñan puriyqa kichki punku yaykuyqa manam facilchu a chaynam dios tayta qatiyninchikpas mana facilchu kanqa señor jesusmi nirqan ñuqaraykum chiqnisunkichik ñuqaraykum kuyaqniykichikkuna mana kuyasunkichikchu ñuqaraykum huk carcelmanpas apasqa kankichik ñuqaraykum acusasqa kankichik ñuqaraykum qarqusqa kankichik ñuqaraykum maqasqa kankichik entonces kuyasqay uyariqllay
38	qam kani kawsay maynintakamallam dios taytapa reynunman yaykunchik y kunanpuni qam payta chaskikuykuy wakiqnin kaqkunaqa imapas imagenkunaqa yesomanta rumimanta qurimanta qullqimanta rurasqaña kaspapas manam imapaqpas servinchu ni waqaptiykipas manam waqaysisunkichu ni qayakuptiykipas manam ñawillantapas kuyuchinqachu jesucristo
40	entonces kuyasqay uyariqllay kay lugarqa mana pipa ni mayqin makipa hapisqansi solamente kay wasiqa kay llaqtaqa rurasqa kachkan dios taytapa makinwan y chay lugarmi llapallanchikman dios tayta niwanchik chaymanya qamkuna riychik chayman yaykunapaqa kachkan solamente nisunchik
42	wañuchisunchu kay suwakunata
44	imaninkichikmi qamkuna
45	hatun urqukunapi kunturkunapas uyarirqan
46	ninsi winsislaw maqtaqa tumpa machasqaña
48	huk qilli chuspi chuspi misapi kimsantin suwakunaqa cervezata upyachkasqaku
50	conchay su mare vamos hacer mucha guita en esos puebluchos 
52	ninsi kaq rimaytaqa yapaykun
54	chay rimaq maqtapaqqa winsislaw tumayllas sutinqa kasqa marcelino tumayllapa churin qisari ayllumanta
56	taksacha kaspaqa winsikucha nispa khuyakuywan sutiyasqaku
58	suqta watayuq kachkaptinsi winsiskuchaqa huk tiyunta lima llaqtaman qatikusqa
60	limapiñataq chay tiyunqa mana llamkayniyuq kasqa estera wasichallapi tiyasqapas hatun llaqtapa patanpi urqu urqupi
62	chaysi mana ancha qullqinpas kasqachu
64	tiyunqa wisiskuchataqa llamkachin
67	t'aqaqa ayllupa pukllanan kanchapas hunt'a runaqa huñunakusqaku
68	huk qullqisapakunapa wasinmansi saqirqatamun
70	chaysi irqiqa tukuy kamachikunata
72	allimanta allimantaqa ñas kastinlla simipi rimayta atichkanña
74	kaykamaqa runa simillata rimasqa
